Nombre de bornes disponibles;Nombre vélo en PARK+;Nombres de bornes en station;PARK + activation;densityLevel;Achat possible en station (CB);Description station;maxBikeOverflow;Etat du Totem;nbFreeDock;Nombre de vélo mécanique;PARK +;nbDock;Nombre vélo électrique;Nombre vélo en PARK+;Code de la station;Nom de la station;Etat des stations;Type de stations;geo;duedate
21;1;25;no;1;no;"{""code"": ""20132"", ""name"": ""Réunion - Avron"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1522447200, ""gps"": {""latitude"": 48.852566752033766, ""longitude"": 2.403928068708116}}";26;yes;1;0;no;1;4;1;20132;Réunion - Avron;Operative;yes;48.852566752, 2.40392806871;2018-03-30
23;0;25;no;1;no;"{""code"": ""20119"", ""name"": ""Square des Saint-Simoniens"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1516057224, ""gps"": {""latitude"": 48.8701796, ""longitude"": 2.3967273}}";25;yes;0;0;no;0;1;0;20119;Square des Saint-Simoniens;Operative;yes;48.8701796, 2.3967273;2018-01-15
0;0;0;no;1;no;"{""code"": ""15126"", ""name"": ""Ernest Renan - Parc des Expositions"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1517356800, ""gps"": {""latitude"": 48.83089757010408, ""longitude"": 2.2853584215044975}}";50;yes;45;4;no;51;2;0;15126;Ernest Renan - Parc des Expositions;Operative;yes;48.8308975701, 2.2853584215;2018-01-31
29;0;33;no;1;no;"{""code"": ""12030"", ""name"": ""Charenton - Wattignies"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1517356800, ""gps"": {""latitude"": 48.83667579640627, ""longitude"": 2.391795855555629}}";33;yes;0;2;no;0;0;0;12030;Charenton - Wattignies;Operative;yes;48.8366757964, 2.39179585556;2018-01-31
24;0;30;no;0;no;"{""code"": ""27002"", ""name"": ""Parc Pierre Lagravère"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1556200050, ""gps"": {""latitude"": 48.92634472480793, ""longitude"": 2.2394567728042607}}";0;yes;0;4;no;0;2;0;27002;Parc Pierre Lagravère;Operative;yes;48.9263447248, 2.2394567728;2019-04-25
21;0;25;no;1;no;"{""code"": ""35003"", ""name"": ""Gabrielle Josserand - Edouard Vaillant "", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1546297209, ""gps"": {""latitude"": 48.90271566255436, ""longitude"": 2.3933270573616032}}";25;yes;0;1;no;0;2;0;35003;Gabrielle Josserand - Edouard Vaillant;Operative;yes;48.9027156626, 2.39332705736;2018-12-31
18;0;23;no;1;yes;"{""code"": ""35009"", ""name"": ""Jean Lolive - Parc Stalingrad"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1529359251, ""gps"": {""latitude"": 48.89206174403158, ""longitude"": 2.4091735482215886}}";0;yes;0;4;no;0;1;0;35009;Jean Lolive - Parc Stalingrad;Operative;yes;48.892061744, 2.40917354822;2018-06-18
16;0;25;no;1;yes;"{""code"": ""31012"", ""name"": ""Place Carnot"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1527631236, ""gps"": {""latitude"": 48.85593932186797, ""longitude"": 2.441531717777252}}";0;yes;0;3;no;0;6;0;31012;Place Carnot;Operative;yes;48.8559393219, 2.44153171778;2018-05-29
19;0;28;no;1;yes;"{""code"": ""35019"", ""name"": ""Anatole France - Jean Lolive"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1554415248, ""gps"": {""latitude"": 48.8949922, ""longitude"": 2.4253764}}";0;yes;0;6;no;0;3;0;35019;Anatole France - Jean Lolive;Operative;yes;48.8949922, 2.4253764;2019-04-04
15;0;18;no;1;no;"{""code"": ""17018"", ""name"": ""Parc Monceau"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1514546502, ""gps"": {""latitude"": 48.88107791412864, ""longitude"": 2.3095492646098137}}";18;yes;0;2;no;0;0;0;17018;Parc Monceau;Operative;yes;48.8810779141, 2.30954926461;2017-12-29
15;0;18;no;1;no;"{""code"": ""18005"", ""name"": ""Tardieu - Chappe"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1557352800, ""gps"": {""latitude"": 48.88414675978186, ""longitude"": 2.3418454080820084}}";0;yes;0;0;no;0;1;0;18005;Tardieu - Chappe;Operative;yes;48.8841467598, 2.34184540808;2019-05-08
15;0;20;no;1;yes;"{""code"": ""18020"", ""name"": ""Francoeur - Marcadet"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1555711200, ""gps"": {""latitude"": 48.89104123261663, ""longitude"": 2.340014585442034}}";22;yes;0;3;no;0;1;0;18020;Francoeur - Marcadet;Operative;yes;48.8910412326, 2.34001458544;2019-04-19
27;0;27;no;1;yes;"{""code"": ""20136"", ""name"": ""Henri Chevreau - Couronnes"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1557784800, ""gps"": {""latitude"": 48.87033205312931, ""longitude"": 2.388777695596218}}";0;yes;0;0;no;0;0;0;20136;Henri Chevreau - Couronnes;Operative;yes;48.8703320531, 2.3887776956;2019-05-13
10;0;26;no;1;no;"{""code"": ""8102"", ""name"": ""Lamennais - Washington "", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1527544829, ""gps"": {""latitude"": 48.87352990026496, ""longitude"": 2.303444892168045}}";0;yes;0;4;no;0;12;0;8102;Lamennais - Washington;Operative;yes;48.8735299003, 2.30344489217;2018-05-28
16;0;19;no;1;no;"{""code"": ""16006"", ""name"": ""Lauriston - Copernic"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1561871703, ""gps"": {""latitude"": 48.86926, ""longitude"": 2.289918}}";0;yes;0;1;no;0;2;0;16006;Lauriston - Copernic;Operative;yes;48.86926, 2.289918;2019-06-30
36;0;36;no;0;yes;"{""code"": ""32012"", ""name"": ""Carrefour Pleyel"", ""state"": ""Work in progress"", ""type"": ""yes"", ""dueDate"": 1567254920, ""gps"": {""latitude"": 48.92034156960326, ""longitude"": 2.3438543826341625}}";0;yes;0;0;no;0;0;0;32012;Carrefour Pleyel;Work in progress;yes;48.9203415696, 2.34385438263;2019-08-31
0;0;0;no;1;yes;"{""code"": ""7006"", ""name"": ""Quai Voltaire"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1542038400, ""gps"": {""latitude"": 48.85894298617901, ""longitude"": 2.331418204714572}}";32;yes;10;21;no;32;1;0;7006;Quai Voltaire;Operative;yes;48.8589429862, 2.33141820471;2018-11-12
15;0;18;no;1;no;"{""code"": ""6018"", ""name"": ""Michelet - Assas"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1528063220, ""gps"": {""latitude"": 48.84274150283194, ""longitude"": 2.335021197795868}}";0;yes;0;0;no;0;2;0;6018;Michelet - Assas;Operative;yes;48.8427415028, 2.3350211978;2018-06-03
16;0;19;no;1;no;"{""code"": ""19109"", ""name"": ""Tanger - Place du Maroc"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1529618441, ""gps"": {""latitude"": 48.8862524447104, ""longitude"": 2.3689296841621403}}";0;yes;0;2;no;0;1;0;19109;Tanger - Place du Maroc;Operative;yes;48.8862524447, 2.36892968416;2018-06-21
23;0;25;no;1;yes;"{""code"": ""10012"", ""name"": ""Vinaigriers - Magenta"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1517439640, ""gps"": {""latitude"": 48.8731167, ""longitude"": 2.3593052}}";25;yes;0;1;no;0;1;0;10012;Vinaigriers - Magenta;Operative;yes;48.8731167, 2.3593052;2018-01-31
20;0;24;no;1;yes;"{""code"": ""26001"", ""name"": ""Gare d'Asnières sur Seine"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1551769200, ""gps"": {""latitude"": 48.90636459217474, ""longitude"": 2.2835066914558415}}";0;yes;0;1;no;0;3;0;26001;Gare d'Asnières sur Seine;Operative;yes;48.9063645922, 2.28350669146;2019-03-05
20;0;26;no;1;yes;"{""code"": ""44102"", ""name"": ""Verdun - Adrien Damalix"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1522447200, ""gps"": {""latitude"": 48.8222334178559, ""longitude"": 2.4215328320860863}}";26;yes;0;3;no;0;2;0;44102;Verdun - Adrien Damalix;Operative;yes;48.8222334179, 2.42153283209;2018-03-30
22;0;22;no;1;no;"{""code"": ""9115"", ""name"": ""Milton - Manuel"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1550617200, ""gps"": {""latitude"": 48.878249, ""longitude"": 2.341181}}";0;yes;0;0;no;0;0;0;9115;Milton - Manuel;Operative;yes;48.878249, 2.341181;2019-02-19
23;0;24;no;1;no;"{""code"": ""18113"", ""name"": ""Lepic - Armée d'Orient"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1542751140, ""gps"": {""latitude"": 48.88753640381415, ""longitude"": 2.334307730197907}}";0;yes;0;1;no;0;0;0;18113;Lepic - Armée d'Orient;Operative;yes;48.8875364038, 2.3343077302;2018-11-20
0;0;0;no;1;no;"{""code"": ""16004"", ""name"": ""Université Paris Dauphine"", ""state"": ""Operative"", ""type"": ""no"", ""dueDate"": 1520586000, ""gps"": {""latitude"": 48.870707839985386, ""longitude"": 2.2748656198382378}}";70;yes;61;4;no;70;2;0;16004;Université Paris Dauphine;Operative;no;48.87070784, 2.27486561984;2018-03-09
